dataset,material,angle_deg,kind,n_points,current_n0,current_fod_um,target_old_um,target_minus_current_um,required_constant_n_for_target,r2,rss
Si_10deg,Si,10.0,peak,8,3.42,3.591799018605659,5.13,1.5382009813943407,2.3977403022259605,0.9985629364276707,0.060356670037829935
Si_10deg,Si,10.0,trough,7,3.42,3.412018350748829,5.13,1.717981649251171,2.27837192553691,0.9998054853513644,0.005446410161796394
Si_15deg,Si,15.0,peak,8,3.42,3.6280216772223866,5.13,1.5019783227776133,2.425593038069179,0.9971370975806109,0.12024190161434431
Si_15deg,Si,15.0,trough,7,3.42,3.397657978849715,5.13,1.7323420211502847,2.273390637424665,0.9998481611953065,0.0042514865314162795
