dataset,material,angle_deg,kind,n_points,constant_n0,constant_fod_um,dispersion_fod_um,delta_um,delta_pct,r2,rss,n_min,n_max,k_min,k_max,reference_wavenumber_cm
SiC_10deg,SiC,10.0,peak,11,2.6,7.295709143739004,5.862090072330882,-1.4336190714081223,-19.6501675596322,0.9920144004960095,0.8784159454389463,2.762479551470098,3.1225241451570174,0.008273020269662718,0.2532799111067374,3855.969
SiC_10deg,SiC,10.0,trough,11,2.6,7.086235443763699,5.69683360217734,-1.3894018415863592,-19.607051623004057,0.9891521880871916,1.1932593104089213,2.7891048012718946,3.1254779482771577,0.008377161920891637,0.20918116190283215,3971.677
SiC_15deg,SiC,15.0,peak,10,2.6,6.539509083945099,5.24648155869076,-1.293027525254339,-19.77254727619848,0.9801873985191129,1.6345396221731865,2.766749694636988,3.1232502914023277,0.00828149269076769,0.24512173075600163,3884.414
SiC_15deg,SiC,15.0,trough,10,2.6,6.665648437690039,5.3383824193793314,-1.3272660183107075,-19.91203152578307,0.9777926905611688,1.8321030287035729,2.723379152680399,3.1201118427825025,0.008409051664266285,0.34517102991106013,3765.331
