dataset,material,angle_deg,kind,n0,reference_wavenumber_cm,n_points,d_um,rss,r2
SiC_10deg,SiC,10.0,peak,2.6,3855.969,11,7.295709143739004,0.6644566505179783,0.9939594849952911
SiC_10deg,SiC,10.0,trough,2.6,3971.677,11,7.086235443763699,1.010939271607999,0.9908096429853819
SiC_15deg,SiC,15.0,peak,2.6,3884.414,10,6.539509083945099,1.4462794196831599,0.9824693403674769
SiC_15deg,SiC,15.0,trough,2.6,3765.331,10,6.665648437690039,1.5655035393781596,0.9810241995226889
Si_10deg,Si,10.0,peak,3.42,3975.534,8,3.591799018605659,0.060356670037829935,0.9985629364276707
Si_10deg,Si,10.0,trough,3.42,3868.022,7,3.412018350748829,0.005446410161796394,0.9998054853513644
Si_15deg,Si,15.0,peak,3.42,3975.534,8,3.6280216772223866,0.12024190161434431,0.9971370975806109
Si_15deg,Si,15.0,trough,3.42,3896.949,7,3.397657978849715,0.0042514865314162795,0.9998481611953065
