mode,dataset,angle_deg,epi_gamma_l_scale,epi_gamma_t_scale,sub_gamma_l_scale,sub_gamma_t_scale,best_thickness_um,best_rmse
lt_shared_scale,SiC_15deg,15.0,1.5,1.5,1.5,1.5,7.42,0.0020199247304755435
lt_shared_scale,SiC_10deg,10.0,1.5,2.0,1.5,2.0,7.48,0.001201739014372807
lt_shared_scale,SiC_15deg,15.0,1.5,2.0,1.5,2.0,7.42,0.0020119862729881775
lt_shared_scale,SiC_10deg,10.0,2.0,0.5,2.0,0.5,7.5200000000000005,0.0013251766002891185
lt_shared_scale,SiC_15deg,15.0,2.0,0.5,2.0,0.5,7.44,0.002142441291193271
lt_shared_scale,SiC_10deg,10.0,2.0,1.0,2.0,1.0,7.5,0.0013089086745690906
lt_shared_scale,SiC_15deg,15.0,2.0,1.0,2.0,1.0,7.44,0.0021225466072204275
lt_shared_scale,SiC_10deg,10.0,2.0,1.5,2.0,1.5,7.5,0.0012856546880380421
lt_shared_scale,SiC_15deg,15.0,2.0,1.5,2.0,1.5,7.44,0.002106341543456161
lt_shared_scale,SiC_10deg,10.0,2.0,2.0,2.0,2.0,7.5,0.0012684664270251644
lt_shared_scale,SiC_15deg,15.0,2.0,2.0,2.0,2.0,7.44,0.0020942948848869138
