wavenumber_cm,wavelength_um,n,k
1000.0,10.0,2.7090281079261422,0.40474746415275686
1250.0,8.0,2.8637018700483514,0.12315150551207353
1500.0,6.666666666666667,2.956138351289448,0.059285845658815076
1750.0,5.714285714285714,3.006595434884169,0.03334150718723704
2000.0,5.0,3.0382516065799265,0.021225612509225923
2250.0,4.444444444444445,3.0592132173373003,0.014851938156062493
2500.0,4.0,3.075329747257738,0.010995738981390541
2750.0,3.6363636363636362,3.0875381525955286,0.009410015802483017
3000.0,3.3333333333333335,3.0969912396246015,0.008816470352728856
3250.0,3.076923076923077,3.105307579985931,0.008429078680478671
3500.0,2.857142857142857,3.1128167786705854,0.008412588232066122
3750.0,2.6666666666666665,3.1196903291715796,0.008688193578063365
4000.0,2.5,3.126200980096667,0.009245964579659791
