band_name,lower_cm,upper_cm,includes_reststrahlen,joint_best_thickness_um,joint_mean_rmse,joint_max_rmse,joint_std_rmse
full_measured,400.0,4000.0,True,7.38,0.0072252967173071,0.009844259880008857,0.0037037732240483593
include_reststrahlen_tail,800.0,4000.0,True,7.42,0.006805823468191009,0.00957971403512037,0.003922873660290295
classic_high,1000.0,4000.0,False,7.42,0.0027117564838540454,0.0031991583375806584,0.0006892903118659635
moderate_high,1200.0,4000.0,False,7.44,0.002077627749689563,0.0025653483056512242,0.0006897410248891274
current_baseline,1500.0,4000.0,False,7.44,0.0017803831406473928,0.0021636570550467313,0.0005420311678473693
higher_only,1800.0,4000.0,False,7.44,0.001256520686738788,0.0016705233097162975,0.000585488124272829
high_core,2000.0,4000.0,False,7.44,0.0012064793635136674,0.0015598088197277286,0.0004996833089638361
trim_both_sides,1500.0,3500.0,False,7.44,0.0017566204006173314,0.002035246588495055,0.00039403693372899067
