stage,candidate_id,epi_nu_p_scale,sub_nu_p_scale,epi_gamma_scale,sub_gamma_scale,epi_gamma_l_scale,epi_gamma_t_scale,sub_gamma_l_scale,sub_gamma_t_scale,dataset,angle_deg,best_thickness_um,best_rmse
drude_gamma,3,1.5,1.0,0.5,2.0,1.0,1.0,1.0,1.0,SiC_15deg,15.0,7.4399999999999995,0.001981975002501731
drude_gamma,4,1.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,SiC_10deg,10.0,7.46,0.001188337708224096
drude_gamma,4,1.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,SiC_15deg,15.0,7.4,0.0019309758858051698
drude_gamma,5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,SiC_10deg,10.0,7.4799999999999995,0.001205576129409383
drude_gamma,5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,SiC_15deg,15.0,7.42,0.0019493483313905904
drude_gamma,6,1.5,1.0,1.0,1.5,1.0,1.0,1.0,1.0,SiC_10deg,10.0,7.49,0.0012456612373328811
drude_gamma,6,1.5,1.0,1.0,1.5,1.0,1.0,1.0,1.0,SiC_15deg,15.0,7.43,0.001962236018996614
drude_gamma,7,1.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,SiC_10deg,10.0,7.51,0.0012992069992704483
drude_gamma,7,1.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,SiC_15deg,15.0,7.4399999999999995,0.0019795341752877915
drude_gamma,8,1.5,1.0,1.5,0.5,1.0,1.0,1.0,1.0,SiC_10deg,10.0,7.46,0.0011873193285425305
drude_gamma,8,1.5,1.0,1.5,0.5,1.0,1.0,1.0,1.0,SiC_15deg,15.0,7.4,0.0019292874203977952
drude_gamma,9,1.5,1.0,1.5,1.0,1.0,1.0,1.0,1.0,SiC_10deg,10.0,7.4799999999999995,0.0012043382587113528
drude_gamma,9,1.5,1.0,1.5,1.0,1.0,1.0,1.0,1.0,SiC_15deg,15.0,7.41,0.0019471413423444452
drude_gamma,10,1.5,1.0,1.5,1.5,1.0,1.0,1.0,1.0,SiC_10deg,10.0,7.49,0.0012438178756065696
drude_gamma,10,1.5,1.0,1.5,1.5,1.0,1.0,1.0,1.0,SiC_15deg,15.0,7.43,0.0019599171604426993
drude_gamma,11,1.5,1.0,1.5,2.0,1.0,1.0,1.0,1.0,SiC_10deg,10.0,7.5,0.0012973704053227694
drude_gamma,11,1.5,1.0,1.5,2.0,1.0,1.0,1.0,1.0,SiC_15deg,15.0,7.4399999999999995,0.0019770948024375695
drude_gamma,12,1.5,1.0,2.0,0.5,1.0,1.0,1.0,1.0,SiC_10deg,10.0,7.46,0.0011863190805454726
drude_gamma,12,1.5,1.0,2.0,0.5,1.0,1.0,1.0,1.0,SiC_15deg,15.0,7.4,0.0019276533890580669
drude_gamma,13,1.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,SiC_10deg,10.0,7.4799999999999995,0.001203122171090623
drude_gamma,13,1.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,SiC_15deg,15.0,7.41,0.0019447681294655068
drude_gamma,14,1.5,1.0,2.0,1.5,1.0,1.0,1.0,1.0,SiC_10deg,10.0,7.49,0.0012419578293552196
drude_gamma,14,1.5,1.0,2.0,1.5,1.0,1.0,1.0,1.0,SiC_15deg,15.0,7.43,0.0019576319463115474
drude_gamma,15,1.5,1.0,2.0,2.0,1.0,1.0,1.0,1.0,SiC_10deg,10.0,7.5,0.0012953378418410519
