epi_plasma_scale,sub_plasma_scale,joint_best_thickness_um,joint_mean_rmse,joint_max_rmse,joint_std_rmse
0.0,0.0,7.58,0.0031447500977381544,0.0032744499737476155,0.0001834233236906887
0.0,0.5,7.5,0.0027031681011672566,0.0028380002678806697,0.00019068147881025888
0.0,1.0,7.44,0.0018071977204873048,0.002293633843625199,0.000687924562569799
0.0,1.5,7.4,0.004212207465411915,0.004555101942785649,0.00048492602036476906
0.0,2.0,7.38,0.0063867924641514634,0.006711647971918097,0.00045941506489517096
0.5,0.0,7.58,0.003154830014007409,0.0032734082771940427,0.00016769498800118363
0.5,0.5,7.5,0.0027267324917109956,0.0028479466996225076,0.00017142277678077242
0.5,1.0,7.44,0.0017971545810107118,0.0022582663715894112,0.0006521105480065391
0.5,1.5,7.4,0.004180289332221149,0.004511631881277873,0.0004685891266672912
0.5,2.0,7.38,0.0063655440029361035,0.0066831396224990664,0.00044914803253622834
1.0,0.0,7.6000000000000005,0.003181590178193427,0.0033095829271348317,0.00018100908143834932
1.0,0.5,7.5200000000000005,0.002791574629747891,0.0029393945751205225,0.00020904897153522522
1.0,1.0,7.44,0.0017803831406473928,0.0021636570550467313,0.0005420311678473693
1.0,1.5,7.4,0.004088587217162968,0.0043844662121965555,0.0004184360875978217
1.0,2.0,7.38,0.006303630316938596,0.006599171788279413,0.0004179587570138827
1.5,0.0,7.62,0.0032153207485394663,0.0033319947963577185,0.00016500202080153923
1.5,0.5,7.54,0.0028934936259538907,0.0030367121345975415,0.00020254155730669917
1.5,1.0,7.46,0.0017763847804271133,0.002261817001483268,0.0006865048306305085
1.5,1.5,7.42,0.003929140003525167,0.0043279151811898625,0.0005639532645911524
1.5,2.0,7.4,0.006202199955970866,0.0065639555867254415,0.000511599719277954
2.0,0.0,7.66,0.003242925535129891,0.00336995995162373,0.00017965379469373925
2.0,0.5,7.5600000000000005,0.0030174567627852316,0.003130829740745955,0.0001603336030386809
2.0,1.0,7.46,0.0018091404265424748,0.0021090722952606176,0.0004241677165291041
2.0,1.5,7.42,0.0037158085312827757,0.004027787049478908,0.0004412042516020312
2.0,2.0,7.4,0.006049780096970523,0.006358310294525395,0.0004363275897837506
