scenario,best_thickness_um,joint_weighted_rmse,effective_points,point_weight_sum,delta_from_all_equal_um,rmse_ratio_vs_all_equal
all_equal,7.465,0.0017115197242072503,1730,1730.0,0.0,1.0
frequency_screened,7.485,0.0011736179028100581,692,692.0,0.020000000000000462,0.6857168434641675
frequency_downweighted,7.475,0.0016033307055228607,1730,1055.3,0.009999999999999787,0.9367877464955883
continuous_frequency_weight,7.47,0.0016819449145344932,1730,1326.9612206981328,0.004999999999999893,0.9827201467476773
