band_name,lower_cm,upper_cm,n_points,includes_reststrahlen,angle_deg,thickness_um,rmse,affine_scale,affine_offset,dataset
full_measured,400.0,4000.0,1067,True,10.0,3.0,0.023115865227919072,0.9568968999987205,0.0021059309695525483,SiC_10deg
full_measured,400.0,4000.0,1067,True,10.0,3.02,0.023026601300189787,0.9569513565093651,0.0021465132420042375,SiC_10deg
full_measured,400.0,4000.0,1067,True,10.0,3.04,0.022935968854828806,0.9570081383703344,0.0021854778036833797,SiC_10deg
full_measured,400.0,4000.0,1067,True,10.0,3.06,0.022843886794887473,0.9570675024037828,0.0022219234192182094,SiC_10deg
full_measured,400.0,4000.0,1067,True,10.0,3.08,0.022750294049235873,0.95712961372423,0.002255054143465652,SiC_10deg
full_measured,400.0,4000.0,1067,True,10.0,3.1,0.02265515262634558,0.9571944798268232,0.0022842372634530894,SiC_10deg
full_measured,400.0,4000.0,1067,True,10.0,3.12,0.02255844606899012,0.957261901386024,0.0023090485881963854,SiC_10deg
full_measured,400.0,4000.0,1067,True,10.0,3.14,0.0224601750768664,0.9573314482325964,0.002329301593045026,SiC_10deg
full_measured,400.0,4000.0,1067,True,10.0,3.16,0.02236035274377676,0.9574024640643938,0.002345058649908902,SiC_10deg
full_measured,400.0,4000.0,1067,True,10.0,3.18,0.022259001775940198,0.957474098249672,0.0023566243316353436,SiC_10deg
full_measured,400.0,4000.0,1067,True,10.0,3.2,0.022156155271901817,0.9575453588293426,0.002364522299114025,SiC_10deg
full_measured,400.0,4000.0,1067,True,10.0,3.22,0.022051861363913572,0.9576151783939238,0.0023694583795381492,SiC_10deg
full_measured,400.0,4000.0,1067,True,10.0,3.24,0.021946190587560775,0.9576824842158344,0.0023722730603303126,SiC_10deg
full_measured,400.0,4000.0,1067,True,10.0,3.26,0.02183924367543606,0.9577462655704367,0.0023738868133216457,SiC_10deg
full_measured,400.0,4000.0,1067,True,10.0,3.2800000000000002,0.021731156938541035,0.9578056338255171,0.002375241571263082,SiC_10deg
full_measured,400.0,4000.0,1067,True,10.0,3.3,0.021622102707665625,0.9578598736560653,0.0023772414739341107,SiC_10deg
full_measured,400.0,4000.0,1067,True,10.0,3.32,0.02151228338927847,0.9579084857718724,0.002380695820985622,SiC_10deg
full_measured,400.0,4000.0,1067,True,10.0,3.34,0.02140191922396456,0.957951222278367,0.00238626707661665,SiC_10deg
full_measured,400.0,4000.0,1067,True,10.0,3.36,0.021291231368795533,0.9579881151284056,0.00239442674709792,SiC_10deg
full_measured,400.0,4000.0,1067,True,10.0,3.38,0.0211804230544022,0.9580194964179021,0.0024054219093503845,SiC_10deg
full_measured,400.0,4000.0,1067,True,10.0,3.4,0.021069662070031466,0.9580460072207005,0.002419254986718835,SiC_10deg
full_measured,400.0,4000.0,1067,True,10.0,3.42,0.020959067692567755,0.9580685900786908,0.0024356789294620457,SiC_10deg
full_measured,400.0,4000.0,1067,True,10.0,3.44,0.02084870452578398,0.9580884599004471,0.002454209183125474,SiC_10deg
full_measured,400.0,4000.0,1067,True,10.0,3.46,0.020738584714853806,0.9581070493057738,0.002474152704941785,SiC_10deg
full_measured,400.0,4000.0,1067,True,10.0,3.48,0.02062867877209294,0.9581259273631434,0.002494652887022742,SiC_10deg
full_measured,400.0,4000.0,1067,True,10.0,3.5,0.02051893388408999,0.9581466947116446,0.002514747718681314,SiC_10deg
full_measured,400.0,4000.0,1067,True,10.0,3.52,0.020409297188984085,0.9581708623954722,0.0025334370839417723,SiC_10deg
full_measured,400.0,4000.0,1067,True,10.0,3.54,0.02029974032737726,0.9581997253940826,0.0025497539801636448,SiC_10deg
full_measured,400.0,4000.0,1067,True,10.0,3.56,0.02019028088046565,0.9582342439600013,0.002562833863798942,SiC_10deg
full_measured,400.0,4000.0,1067,True,10.0,3.58,0.020080996414569882,0.958274945979057,0.002571976401608448,SiC_10deg
full_measured,400.0,4000.0,1067,True,10.0,3.6,0.01997202791919215,0.9583218616004723,0.002576694637732021,SiC_10deg
full_measured,400.0,4000.0,1067,True,10.0,3.62,0.019863571376215184,0.9583744977413069,0.0025767478683161246,SiC_10deg
full_measured,400.0,4000.0,1067,True,10.0,3.64,0.019755858671308087,0.9584318554548739,0.002572156143145459,SiC_10deg
